"id","pcn","geom"
47,"Barrow and Millom - M.Bay CCG","0103000020E61000000100000007000000AD1F726516EA09C082F50BB8DF114B408304BD1EE93F09C08D68755178154B4047825FD9BB9508C082F50BB8DF114B4047825FD9BB9508C04E854FA5AC0A4B408304BD1EE93F09C00995D12B12074B40AD1F726516EA09C04E854FA5AC0A4B40AD1F726516EA09C082F50BB8DF114B40"
48,"Bay Primary Care Network - M.Bay CCG","0103000020E61000000100000007000000E0E44C4D614107C082F50BB8DF114B40A462EF07349706C08D68755178154B407A473AC106ED05C082F50BB8DF114B407A473AC106ED05C04E854FA5AC0A4B40A462EF07349706C00995D12B12074B40E0E44C4D614107C04E854FA5AC0A4B40E0E44C4D614107C082F50BB8DF114B40"
17,"Blackburn East - BwD CCG","0103000020E61000000100000007000000D727CAEF7EEE03C0C48BAEA0A3DB4A409BA56CAA514403C03608319F45DF4A405E230F65249A02C0C48BAEA0A3DB4A405E230F65249A02C023BD66C15DD44A409BA56CAA514403C065F18BE0B9D04A40D727CAEF7EEE03C023BD66C15DD44A40D727CAEF7EEE03C0C48BAEA0A3DB4A40"
24,"Blackburn North - BwD CCG","0103000020E6100000010000000700000001437F36AC9804C0791E1EBA87E64A40D727CAEF7EEE03C069ABB3D627EA4A409BA56CAA514403C0791E1EBA87E64A409BA56CAA514403C03608319F45DF4A40D727CAEF7EEE03C0C48BAEA0A3DB4A4001437F36AC9804C03608319F45DF4A4001437F36AC9804C0791E1EBA87E64A40"
38,"Blackburn West - BwD CCG","0103000020E6100000010000000700000001437F36AC9804C02D0A58FE3EFC4A40D727CAEF7EEE03C078D75558DBFF4A409BA56CAA514403C02D0A58FE3EFC4A409BA56CAA514403C0AA3F466904F54A40D727CAEF7EEE03C07242322E66F14A4001437F36AC9804C0AA3F466904F54A4001437F36AC9804C02D0A58FE3EFC4A40"
13,"Blackpool Central - Blackpool CCG","0103000020E610000001000000070000008304BD1EE93F09C0C48BAEA0A3DB4A4047825FD9BB9508C03608319F45DF4A400A0002948EEB07C0C48BAEA0A3DB4A400A0002948EEB07C023BD66C15DD44A4047825FD9BB9508C065F18BE0B9D04A408304BD1EE93F09C023BD66C15DD44A408304BD1EE93F09C0C48BAEA0A3DB4A40"
20,"Blackpool Central West - Blackpool CCG","0103000020E61000000100000007000000AD1F726516EA09C0791E1EBA87E64A408304BD1EE93F09C069ABB3D627EA4A4047825FD9BB9508C0791E1EBA87E64A4047825FD9BB9508C03608319F45DF4A408304BD1EE93F09C0C48BAEA0A3DB4A40AD1F726516EA09C03608319F45DF4A40AD1F726516EA09C0791E1EBA87E64A40"
28,"Blackpool North - Blackpool CCG","0103000020E610000001000000070000008304BD1EE93F09C07242322E66F14A4047825FD9BB9508C0AA3F466904F54A400A0002948EEB07C07242322E66F14A400A0002948EEB07C069ABB3D627EA4A4047825FD9BB9508C0791E1EBA87E64A408304BD1EE93F09C069ABB3D627EA4A408304BD1EE93F09C07242322E66F14A40"
21,"Blackpool South - Blackpool CCG","0103000020E6100000010000000700000047825FD9BB9508C0791E1EBA87E64A400A0002948EEB07C069ABB3D627EA4A40E0E44C4D614107C0791E1EBA87E64A40E0E44C4D614107C03608319F45DF4A400A0002948EEB07C0C48BAEA0A3DB4A4047825FD9BB9508C03608319F45DF4A4047825FD9BB9508C0791E1EBA87E64A40"
37,"Bridgedale South Ribble - GP and CSR CCGs","0103000020E610000001000000070000007A473AC106ED05C02D0A58FE3EFC4A403DC5DC7BD94205C078D75558DBFF4A4001437F36AC9804C02D0A58FE3EFC4A4001437F36AC9804C0AA3F466904F54A403DC5DC7BD94205C07242322E66F14A407A473AC106ED05C0AA3F466904F54A407A473AC106ED05C02D0A58FE3EFC4A40"
26,"Burnley East - E.Lancs CCG","0103000020E6100000010000000700000034085A1EF7EF01C0791E1EBA87E64A40F885FCD8C94501C069ABB3D627EA4A40CE6A47929C9B00C0791E1EBA87E64A40CE6A47929C9B00C03608319F45DF4A40F885FCD8C94501C0C48BAEA0A3DB4A4034085A1EF7EF01C03608319F45DF4A4034085A1EF7EF01C0791E1EBA87E64A40"
39,"Burnley West - E.Lancs CCG","0103000020E610000001000000070000009BA56CAA514403C02D0A58FE3EFC4A405E230F65249A02C078D75558DBFF4A4034085A1EF7EF01C02D0A58FE3EFC4A4034085A1EF7EF01C0AA3F466904F54A405E230F65249A02C07242322E66F14A409BA56CAA514403C0AA3F466904F54A409BA56CAA514403C02D0A58FE3EFC4A40"
55,"Carnforth and Milnthorpe - M.Bay CCG","0103000020E61000000100000007000000A462EF07349706C0153E74A4A71C4B407A473AC106ED05C0B093345E3E204B403DC5DC7BD94205C0153E74A4A71C4B403DC5DC7BD94205C08D68755178154B407A473AC106ED05C082F50BB8DF114B40A462EF07349706C08D68755178154B40A462EF07349706C0153E74A4A71C4B40"
9,"Chorley and South Ribble Health Network - CSR CCG","0103000020E610000001000000070000007A473AC106ED05C065F18BE0B9D04A403DC5DC7BD94205C023BD66C15DD44A4001437F36AC9804C065F18BE0B9D04A4001437F36AC9804C0D2AA123C70C94A403DC5DC7BD94205C06FB65E78CAC54A407A473AC106ED05C0D2AA123C70C94A407A473AC106ED05C065F18BE0B9D04A40"
6,"Chorley Central (Chorley Collab Group) - CSR CCG","0103000020E610000001000000070000003DC5DC7BD94205C06FB65E78CAC54A4001437F36AC9804C0D2AA123C70C94A40D727CAEF7EEE03C06FB65E78CAC54A40D727CAEF7EEE03C0C6BEC70D7DBE4A4001437F36AC9804C0F241CF66D5BA4A403DC5DC7BD94205C0C6BEC70D7DBE4A403DC5DC7BD94205C06FB65E78CAC54A40"
16,"Chorley East - CSR CCG","0103000020E610000001000000070000003DC5DC7BD94205C0C48BAEA0A3DB4A4001437F36AC9804C03608319F45DF4A40D727CAEF7EEE03C0C48BAEA0A3DB4A40D727CAEF7EEE03C023BD66C15DD44A4001437F36AC9804C065F18BE0B9D04A403DC5DC7BD94205C023BD66C15DD44A403DC5DC7BD94205C0C48BAEA0A3DB4A40"
10,"Darwen - BwD CCG","0103000020E6100000010000000700000001437F36AC9804C065F18BE0B9D04A40D727CAEF7EEE03C023BD66C15DD44A409BA56CAA514403C065F18BE0B9D04A409BA56CAA514403C0D2AA123C70C94A40D727CAEF7EEE03C06FB65E78CAC54A4001437F36AC9804C0D2AA123C70C94A4001437F36AC9804C065F18BE0B9D04A40"
35,"Fleetwood - F and W CCG","0103000020E6100000010000000700000047825FD9BB9508C02D0A58FE3EFC4A400A0002948EEB07C078D75558DBFF4A40E0E44C4D614107C02D0A58FE3EFC4A40E0E44C4D614107C0AA3F466904F54A400A0002948EEB07C07242322E66F14A4047825FD9BB9508C0AA3F466904F54A4047825FD9BB9508C02D0A58FE3EFC4A40"
68,"Grange and Lakes - M.Bay CCG","0103000020E610000001000000070000000A0002948EEB07C0F2576DA326324B40E0E44C4D614107C0B9FE5D9FB9354B40A462EF07349706C0F2576DA326324B40A462EF07349706C0C5920FCDFE2A4B40E0E44C4D614107C0418177F269274B400A0002948EEB07C0C5920FCDFE2A4B400A0002948EEB07C0F2576DA326324B40"
23,"Greater Preston - GP CCG","0103000020E610000001000000070000007A473AC106ED05C0791E1EBA87E64A403DC5DC7BD94205C069ABB3D627EA4A4001437F36AC9804C0791E1EBA87E64A4001437F36AC9804C03608319F45DF4A403DC5DC7BD94205C0C48BAEA0A3DB4A407A473AC106ED05C03608319F45DF4A407A473AC106ED05C0791E1EBA87E64A40"
25,"Hyndburn Central - E.Lancs CCG","0103000020E610000001000000070000009BA56CAA514403C0791E1EBA87E64A405E230F65249A02C069ABB3D627EA4A4034085A1EF7EF01C0791E1EBA87E64A4034085A1EF7EF01C03608319F45DF4A405E230F65249A02C0C48BAEA0A3DB4A409BA56CAA514403C03608319F45DF4A409BA56CAA514403C0791E1EBA87E64A40"
32,"Hyndburn Rural - E.Lancs CCG","0103000020E61000000100000007000000D727CAEF7EEE03C07242322E66F14A409BA56CAA514403C0AA3F466904F54A405E230F65249A02C07242322E66F14A405E230F65249A02C069ABB3D627EA4A409BA56CAA514403C0791E1EBA87E64A40D727CAEF7EEE03C069ABB3D627EA4A40D727CAEF7EEE03C07242322E66F14A40"
69,"Kendal - M.Bay CCG","0103000020E61000000100000007000000A462EF07349706C0F2576DA326324B407A473AC106ED05C0B9FE5D9FB9354B403DC5DC7BD94205C0F2576DA326324B403DC5DC7BD94205C0C5920FCDFE2A4B407A473AC106ED05C0418177F269274B40A462EF07349706C0C5920FCDFE2A4B40A462EF07349706C0F2576DA326324B40"
42,"Lancaster - M.Bay CCG","0103000020E61000000100000007000000A462EF07349706C00995D12B12074B407A473AC106ED05C04E854FA5AC0A4B403DC5DC7BD94205C00995D12B12074B403DC5DC7BD94205C078D75558DBFF4A407A473AC106ED05C02D0A58FE3EFC4A40A462EF07349706C078D75558DBFF4A40A462EF07349706C00995D12B12074B40"
15,"Leyland - CSR CCG","0103000020E61000000100000007000000A462EF07349706C0C48BAEA0A3DB4A407A473AC106ED05C03608319F45DF4A403DC5DC7BD94205C0C48BAEA0A3DB4A403DC5DC7BD94205C023BD66C15DD44A407A473AC106ED05C065F18BE0B9D04A40A462EF07349706C023BD66C15DD44A40A462EF07349706C0C48BAEA0A3DB4A40"
14,"Lytham St Annes and Ansdell (LSA) - F and W CCG","0103000020E610000001000000070000000A0002948EEB07C0C48BAEA0A3DB4A40E0E44C4D614107C03608319F45DF4A40A462EF07349706C0C48BAEA0A3DB4A40A462EF07349706C023BD66C15DD44A40E0E44C4D614107C065F18BE0B9D04A400A0002948EEB07C023BD66C15DD44A400A0002948EEB07C0C48BAEA0A3DB4A40"
60,"Mid Furness - M.Bay CCG","0103000020E61000000100000007000000AD1F726516EA09C0418177F269274B408304BD1EE93F09C0C5920FCDFE2A4B4047825FD9BB9508C0418177F269274B4047825FD9BB9508C0B093345E3E204B408304BD1EE93F09C0153E74A4A71C4B40AD1F726516EA09C0B093345E3E204B40AD1F726516EA09C0418177F269274B40"
8,"Northern Parishes - W.Lancs CCG","0103000020E61000000100000007000000E0E44C4D614107C065F18BE0B9D04A40A462EF07349706C023BD66C15DD44A407A473AC106ED05C065F18BE0B9D04A407A473AC106ED05C0D2AA123C70C94A40A462EF07349706C06FB65E78CAC54A40E0E44C4D614107C0D2AA123C70C94A40E0E44C4D614107C065F18BE0B9D04A40"
4,"Ormskirk - W.Lancs CCG","0103000020E610000001000000070000000A0002948EEB07C06FB65E78CAC54A40E0E44C4D614107C0D2AA123C70C94A40A462EF07349706C06FB65E78CAC54A40A462EF07349706C0C6BEC70D7DBE4A40E0E44C4D614107C0F241CF66D5BA4A400A0002948EEB07C0C6BEC70D7DBE4A400A0002948EEB07C06FB65E78CAC54A40"
40,"Pendle East - E.Lancs CCG","0103000020E6100000010000000700000034085A1EF7EF01C02D0A58FE3EFC4A40F885FCD8C94501C078D75558DBFF4A40CE6A47929C9B00C02D0A58FE3EFC4A40CE6A47929C9B00C0AA3F466904F54A40F885FCD8C94501C07242322E66F14A4034085A1EF7EF01C0AA3F466904F54A4034085A1EF7EF01C02D0A58FE3EFC4A40"
33,"Pendle West - E.Lancs CCG","0103000020E610000001000000070000005E230F65249A02C07242322E66F14A4034085A1EF7EF01C0AA3F466904F54A40F885FCD8C94501C07242322E66F14A40F885FCD8C94501C069ABB3D627EA4A4034085A1EF7EF01C0791E1EBA87E64A405E230F65249A02C069ABB3D627EA4A405E230F65249A02C07242322E66F14A40"
31,"Preston East - GP CCG","0103000020E610000001000000070000003DC5DC7BD94205C07242322E66F14A4001437F36AC9804C0AA3F466904F54A40D727CAEF7EEE03C07242322E66F14A40D727CAEF7EEE03C069ABB3D627EA4A4001437F36AC9804C0791E1EBA87E64A403DC5DC7BD94205C069ABB3D627EA4A403DC5DC7BD94205C07242322E66F14A40"
30,"Preston North - GP CCG","0103000020E61000000100000007000000A462EF07349706C07242322E66F14A407A473AC106ED05C0AA3F466904F54A403DC5DC7BD94205C07242322E66F14A403DC5DC7BD94205C069ABB3D627EA4A407A473AC106ED05C0791E1EBA87E64A40A462EF07349706C069ABB3D627EA4A40A462EF07349706C07242322E66F14A40"
44,"Ribblesdale - E.Lancs CCG","0103000020E61000000100000007000000D727CAEF7EEE03C00995D12B12074B409BA56CAA514403C04E854FA5AC0A4B405E230F65249A02C00995D12B12074B405E230F65249A02C078D75558DBFF4A409BA56CAA514403C02D0A58FE3EFC4A40D727CAEF7EEE03C078D75558DBFF4A40D727CAEF7EEE03C00995D12B12074B40"
12,"Rossendale East - E.Lancs CCG","0103000020E6100000010000000700000034085A1EF7EF01C065F18BE0B9D04A40F885FCD8C94501C023BD66C15DD44A40CE6A47929C9B00C065F18BE0B9D04A40CE6A47929C9B00C0D2AA123C70C94A40F885FCD8C94501C06FB65E78CAC54A4034085A1EF7EF01C0D2AA123C70C94A4034085A1EF7EF01C065F18BE0B9D04A40"
18,"Rossendale West - E.Lancs CCG","0103000020E610000001000000070000005E230F65249A02C0C48BAEA0A3DB4A4034085A1EF7EF01C03608319F45DF4A40F885FCD8C94501C0C48BAEA0A3DB4A40F885FCD8C94501C023BD66C15DD44A4034085A1EF7EF01C065F18BE0B9D04A405E230F65249A02C023BD66C15DD44A405E230F65249A02C0C48BAEA0A3DB4A40"
5,"Skelmersdale - W.Lancs CCG","0103000020E61000000100000007000000A462EF07349706C06FB65E78CAC54A407A473AC106ED05C0D2AA123C70C94A403DC5DC7BD94205C06FB65E78CAC54A403DC5DC7BD94205C0C6BEC70D7DBE4A407A473AC106ED05C0F241CF66D5BA4A40A462EF07349706C0C6BEC70D7DBE4A40A462EF07349706C06FB65E78CAC54A40"
22,"South Ribble Medical Group - GP and CSR CCGs","0103000020E61000000100000007000000E0E44C4D614107C0791E1EBA87E64A40A462EF07349706C069ABB3D627EA4A407A473AC106ED05C0791E1EBA87E64A407A473AC106ED05C03608319F45DF4A40A462EF07349706C0C48BAEA0A3DB4A40E0E44C4D614107C03608319F45DF4A40E0E44C4D614107C0791E1EBA87E64A40"
41,"Torentum - B.pool,F and W CCGs","0103000020E610000001000000070000000A0002948EEB07C00995D12B12074B40E0E44C4D614107C04E854FA5AC0A4B40A462EF07349706C00995D12B12074B40A462EF07349706C078D75558DBFF4A40E0E44C4D614107C02D0A58FE3EFC4A400A0002948EEB07C078D75558DBFF4A400A0002948EEB07C00995D12B12074B40"
56,"Western Dales - M.Bay CCG","0103000020E610000001000000070000003DC5DC7BD94205C0153E74A4A71C4B4001437F36AC9804C0B093345E3E204B40D727CAEF7EEE03C0153E74A4A71C4B40D727CAEF7EEE03C08D68755178154B4001437F36AC9804C082F50BB8DF114B403DC5DC7BD94205C08D68755178154B403DC5DC7BD94205C0153E74A4A71C4B40"
29,"Wyre Integrated N.hood PCN  F and W CCG","0103000020E610000001000000070000000A0002948EEB07C07242322E66F14A40E0E44C4D614107C0AA3F466904F54A40A462EF07349706C07242322E66F14A40A462EF07349706C069ABB3D627EA4A40E0E44C4D614107C0791E1EBA87E64A400A0002948EEB07C069ABB3D627EA4A400A0002948EEB07C07242322E66F14A40"
36,"Wyre Rural Extended Neighbourhood - F and W CCG","0103000020E61000000100000007000000E0E44C4D614107C02D0A58FE3EFC4A40A462EF07349706C078D75558DBFF4A407A473AC106ED05C02D0A58FE3EFC4A407A473AC106ED05C0AA3F466904F54A40A462EF07349706C07242322E66F14A40E0E44C4D614107C0AA3F466904F54A40E0E44C4D614107C02D0A58FE3EFC4A40"